item_id,unit_type,query_id,arm,unit_index,question,text,source_span_text,atomic,self_contained,verifiable,unresolved_pronoun,span_aligned,rewrite_faithful,fact_coverage,fact_coverage_notes,error_type,notes
item-000553,a1_sentence,6776234528515962047,old,1,Who is the most run in cricket history?,"The evidence [4] states that the individual who is described as ""the leading run scorer in Tests, with 15,921 runs, as well as in One-Day Internationals, with 18,426 runs"" is the most run scorer in cricket history.",,1,0,0,1,NA,NA,NA,,unresolved_reference;vague_unverifiable,
item-000064,a2_case,586233275728240023,new_new,1,What is the os of samsung smart tv?,The operating system of Samsung smart TVs is Tizen [1].,- Samsung smart TVs use the Tizen operating system.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000375,a2_case,8433533625736230886,old_old,1,Who has won the most trophies man utd or liverpool?,Manchester United has won the most trophies [1][2][3].,- Manchester United has won more trophies than any other football club.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000235,a2_claim,6962706727076805207,old_new,3,What kind of car in to catch a thief?,Some bait cars feature GPS tracking and a kill switch mechanism to remotely disable the vehicle and lock its doors.,"They may include GPS tracking and a ""kill switch"" that allows police to remotely disable the engine and lock the doors, preventing the thief from escaping.",1,0,NA,NA,1,1,NA,,unresolved_reference,
item-000075,a2_claim,-4286108617234818000,new_new,1,When does the new super troopers movie come out?,Super Troopers 2 is a film title.,Super Troopers 2,1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000469,a2_claim,7797208395147217894,new_old,1,When did west germany win the world cup?,West Germany achieved victory in the 1954 World Cup.,West Germany won the World Cup in 1954 [2],1,1,NA,NA,1,1,NA,,,
item-000393,a2_case,-6702031255040326279,new_old,1,Which of the animal is a carrier of h1n1?,Household cats have been reported as carriers of the H1N1 influenza virus [1].,- Household cats can carry the H1N1 influenza virus.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000089,a2_case,-9141149438582194391,old_new,1,Who has scored the highest number of runs in test cricket?,"The evidence [2] indicates that the player with the highest number of runs in test cricket is the one who scored 15,921 runs in Tests, as well as 18,426 runs in One-Day Internationals. He is also the only player to have scored more than 30,000 runs in all forms of international cricket (Tests, ODIs, and Twenty20s). [2]","- The player scored 15,921 runs in Test cricket.
- The same player also scored 18,426 runs in One-Day Internals.
- The player is the only one to have scored more than 30,000 runs across Tests, ODIs, and Twenty20s.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000188,a1_sentence,-2585133819352441604,old,1,Name of first episode of this is us?,"The first episode of This Is Us is called ""Remember.",,1,1,1,0,NA,NA,NA,,,
item-000265,a1_sentence,4474597907223412132,old,1,Who were the two astronauts who stayed a year on the iss?,The two astronauts who stayed a year on the ISS were Scott Kelly (NASA / USA) and Mikhail Korniyenko (Roscosmos / Russia).,,1,1,1,0,NA,NA,NA,,,
item-000030,a2_case,-7824075627194227170,new_old,1,When was the commission fir sc/st established?,The first commission for Scheduled Castes and Scheduled Tribes was established in August 1978 [1][2].,- The first commission for Scheduled Castes and Scheduled Tribes was established in August 1978.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000615,a2_claim,-3344541168958463110,old_old,1,Who fought with an angel in the bible?,Jacob fought with an angel in the Bible.,Jacob wrestling with the angel is an episode from Genesis (32:22-32),1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000457,a2_claim,7797208395147217894,old_old,1,When did west germany win the world cup?,West Germany achieved the World Cup title in 1954.,West Germany won the World Cup in 1954,1,1,NA,NA,1,1,NA,,,
item-000251,a2_case,-3228483207040151533,new_old,1,What bodies of water surround cabo san lucas?,The Pacific Ocean and the Gulf of California surround Cabo San Lucas. [3],- Cabo San Lucas is geographically located between the Pacific Ocean and the Gulf of California.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000050,a1_sentence,-5842265707961388968,new,1,Who beat villanova last year in the ncaa tournament?,North Carolina Tar Heels beat Villanova in the National Semi-Finals of the 2015 NCAA Tournament [3].,,1,1,1,0,NA,NA,NA,,,
item-000061,a2_claim,586233275728240023,new_old,1,What is the os of samsung smart tv?,Samsung smart TVs use the Tizen operating system.,The operating system of Samsung smart TVs is Tizen,1,1,NA,NA,1,1,NA,,,
item-000062,a2_case,586233275728240023,new_old,1,What is the os of samsung smart tv?,The operating system of Samsung smart TVs is Tizen [1].,- Samsung smart TVs use the Tizen operating system.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000167,a2_claim,-7699606393193219666,new_new,1,Who played cowboy curtis on pee wee herman?,Kevin Bacon portrayed the character Cowboy Curtis in the CBS children's television series Pee‑Wee's Playhouse.,"Kevin Bacon played Cowboy Curtis on Pee‑Wee Herman's CBS children's television show ""Pee‑wee's Playhouse.""",1,1,NA,NA,1,1,NA,,,
item-000586,a2_case,2469112227919120438,new_old,1,The creation of the senate was based on the?,The creation of the United States Senate was based on the United States Constitution [2].,- The United States Senate was established by the United States Constitution.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000560,a2_claim,6776234528515962047,old_new,2,Who is the most run in cricket history?,"The described individual is also noted as the only player to score more than 30,000 runs in all forms of international cricket.","The evidence [4] states that the individual who is described as ""the leading run scorer in Tests, with 15,921 runs, as well as in One-Day Internationals, with 18,426 runs"" is the most run scorer in cricket history.",0,1,NA,NA,0,0,NA,,multi_fact;span_misaligned;meaning_changed,
item-000620,a2_case,-3344541168958463110,old_new,1,Who fought with an angel in the bible?,"Jacob fought with an angel in the Bible [1][4]. The evidence [1] states that Jacob wrestling with the angel is an episode from Genesis (32:22-32), and [4] confirms that it was Jacob who wrestled with a man (identified later as God) in this encounter. [I don't know] if there are other biblical figures who fought with angels, as the provided evidence only mentions Jacob.","- Jacob fought with an angel in the Bible.
- The encounter was specifically with Jacob.",NA,NA,NA,NA,NA,NA,partial,"lost fact description ""Jacob wrestling with the angel is an episode from Genesis (32:22-32)""",fact_omission,
item-000307,a1_sentence,16881061444712536,old,3,Where does the amazon river start and finish?,[1][5],,NA,0,0,0,NA,NA,NA,,citation_only,
item-000104,a2_claim,-99543908387769967,old_old,1,Who does sansa marry on game of thrones?,Sansa Stark marries Tyrion Lannister in the television series Game of Thrones.,Sansa marries Tyrion Lannister on Game of Thrones [5].,1,1,NA,NA,1,1,NA,,,
item-000129,a2_case,7150599999316106461,new_new,1,Who was the first singing brothers in the hall of fame?,The Mills Brothers were the first singing group inducted into the Vocal Group Hall of Fame [2].,- The Mills Brothers were the inaugural recipients of the Vocal Group Hall of Fame induction.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000490,a2_claim,6257465985316109835,old_new,1,Who is the main character in liv and maddie?,Liv Rooney is the main character in the television series Liv and Maddie.,The main character in Liv and Maddie is Liv Rooney,1,1,NA,NA,1,1,NA,,,
item-000524,a2_case,-8286966211355378010,old_old,1,What is the objective of tour de france?,"The objective of the Tour de France is to determine the best cyclist through a series of day-long stages over 23 days, with the rider having the lowest cumulative finishing times becoming the leader of the race. [1][2]","- The Tour de France aims to identify the top cyclist.
- The race consists of multiple single-day stages.
- The Tour de France is completed over a period of 23 days.
- The cyclist with the fastest overall time across all stages is declared the race leader.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000548,a1_sentence,4150448921344430432,new,1,Who were the original twins in everybody loves raymond?,The original twins in Everybody Loves Raymond were Matthew and Gregory [5].,,1,1,1,0,NA,NA,NA,,,
item-000463,a2_claim,7797208395147217894,old_new,2,When did west germany win the world cup?,West Germany achieved the World Cup title in 1974.,West Germany won the World Cup in 1954 and again in 1974 [1][2].,1,1,NA,NA,1,1,NA,,,
item-000395,a2_case,-6702031255040326279,new_new,1,Which of the animal is a carrier of h1n1?,Household cats have been reported as carriers of the H1N1 influenza virus [1].,- Household cats can carry the H1N1 influenza virus.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000131,a2_claim,87005427005915954,old_old,1,When was the last time galway won the hurling all ireland?,Galway achieved its most recent Hurling All Ireland victory in 1987.,The last time Galway won the Hurling All Ireland was in 1987,1,1,NA,NA,1,1,NA,,,
item-000253,a2_case,-3228483207040151533,new_new,1,What bodies of water surround cabo san lucas?,The Pacific Ocean and the Gulf of California surround Cabo San Lucas. [3],- Cabo San Lucas is geographically located between the Pacific Ocean and the Gulf of California.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000540,a1_sentence,4150448921344430432,old,2,Who were the original twins in everybody loves raymond?,They were later renamed to Geoffrey and Michael on screen [5].,,1,0,1,1,NA,NA,NA,,unresolved_reference,
item-000305,a1_sentence,16881061444712536,old,1,Where does the amazon river start and finish?,The Amazon River starts at its headwaters in the Cordillera Rumi Cruz at the headwaters of the Mantaro River in Peru [1].,,1,1,1,0,NA,NA,NA,,,
item-000613,a1_sentence,-3344541168958463110,old,2,Who fought with an angel in the bible?,"The evidence [1] states that Jacob wrestling with the angel is an episode from Genesis (32:22-32), and [4] confirms that it was Jacob who wrestled with a man (identified later as God) in this encounter.",,NA,0,0,0,NA,NA,NA,,meta_nonclaim,
item-000621,a1_sentence,-3344541168958463110,new,1,Who fought with an angel in the bible?,Jacob fought with an angel in the Bible [1][4].,,1,1,1,0,NA,NA,NA,,,
item-000101,a1_sentence,-99543908387769967,old,2,Who does sansa marry on game of thrones?,"However, there are multiple marriages mentioned in the evidence: she is initially set to marry Willas Tyrell [1], then later marries Ramsay Bolton [4], and finally agrees to marry Tyrion Lannister [5].",,0,1,1,0,NA,NA,NA,,multi_fact,
item-000082,a2_claim,-9141149438582194391,old_old,1,Who has scored the highest number of runs in test cricket?,"The player scored 15,921 runs in Test cricket.","The evidence [2] indicates that the player with the highest number of runs in test cricket is the one who scored 15,921 runs in Tests",1,0,NA,NA,1,1,NA,,unresolved_reference,
item-000120,a2_claim,7150599999316106461,old_old,2,Who was the first singing brothers in the hall of fame?,The Everly Brothers were inducted into the Country Music Hall of Fame in 2001.,They were also inducted into the Country Music Hall of Fame in 2001,1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000203,a2_claim,6514531923811923780,old_new,1,When does disney's food and wine festival end?,The Disney's Food and Wine Festival concluded on November 13.,The Disney's Food and Wine Festival ends on November 13,1,1,NA,NA,1,1,NA,,,
item-000011,a2_claim,-5942352520455511076,new_new,2,Where can adipose tissue be found in the body?,Adipose tissue surrounds internal organs as visceral fat.,"Adipose tissue is located beneath the skin (subcutaneous fat) [1][4], around internal organs (visceral fat) [1][3], in bone marrow (yellow bone marrow) [1], intermuscularly [1], and in the breast tissue [1].",1,1,NA,NA,1,1,NA,,,
item-000562,a1_sentence,6776234528515962047,new,1,Who is the most run in cricket history?,The evidence indicates that the most run scorer in cricket history is Sachin Tendulkar [4].,,NA,0,0,0,NA,NA,NA,,meta_nonclaim,
item-000474,a2_case,7797208395147217894,new_new,1,When did west germany win the world cup?,West Germany won the World Cup in 1954 [2] and again in 1974 [2]. [2],"- West Germany achieved victory in the 1954 World Cup.
- West Germany achieved victory in the 1974 World Cup.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000500,a2_claim,-3279585462082900736,old_new,1,Who gets fired on grey's anatomy season 6?,"Katherine Heigl's character, Dr. Izzie Stevens, is written out of Grey's Anatomy in season 6.",Katherine Heigl gets fired on Grey's Anatomy season 6,1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000552,a2_case,4150448921344430432,new_new,1,Who were the original twins in everybody loves raymond?,The original twins in Everybody Loves Raymond were Matthew and Gregory [5].,- Matthew and Gregory were the original twin actors in the television show Everybody Loves Raymond.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000514,a2_case,3643093465010420057,new_old,1,What city in texas has the highest elevation?,The city in Texas with the highest elevation is Del Rio [3]. 1425 feet above sea level [4],"- Del Rio is the city in Texas with the highest elevation.
- Del Rio has an elevation of 1425 feet above sea level.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000051,a2_claim,-5842265707961388968,new_old,1,Who beat villanova last year in the ncaa tournament?,The North Carolina Tar Heels basketball team defeated the Villanova Wildcats in the National Semi-Finals during the 2015 NCAA Tournament.,North Carolina Tar Heels beat Villanova in the National Semi-Finals of the 2015 NCAA Tournament,1,1,NA,NA,1,1,NA,,,
item-000147,a2_case,-5116644172939113883,new_old,1,Who raps in the gorillaz song clint eastwood?,"Del the Funky Homosapien raps the verses in the Gorillaz song ""Clint Eastwood"" [1][2].","- Del the Funky Homosapien performed the rap verses for the Gorillaz song ""Clint Eastwood"".",NA,NA,NA,NA,NA,NA,complete,none,,
item-000446,a2_case,3605104154738105404,old_old,1,What episode does jason gideon die in criminal minds?,"Jason Gideon dies in the Season 10 episode ""Nelson's Sparrow"" [1].","- Jason Gideon is a character who dies in the TV show Criminal Minds in the Season 10 episode titled ""Nelson's Sparrow"".",NA,NA,NA,NA,NA,NA,complete,none,,
item-000341,a2_case,-3904805932335139116,new_new,1,What was the daughter's name on the jetsons?,Judy Jetson [2],- Judy Jetson is a character in the animated television series The Jetsons.,NA,NA,NA,NA,NA,NA,NA,no facts in a1,,
item-000497,a1_sentence,-3279585462082900736,old,1,Who gets fired on grey's anatomy season 6?,Katherine Heigl gets fired on Grey's Anatomy season 6 [2].,,1,1,1,0,NA,NA,NA,,,
item-000529,a2_case,-8286966211355378010,old_new,1,What is the objective of tour de france?,"The objective of the Tour de France is to determine the best cyclist through a series of day-long stages over 23 days, with the rider having the lowest cumulative finishing times becoming the leader of the race. [1][2]","- The Tour de France aims to identify the top cyclist.
- The race consists of multiple single-day stages.
- The Tour de France is completed over a period of 23 days.
- The cyclist with the fastest overall time across all stages is declared the race leader.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000401,a2_claim,4183252176965080529,old_old,3,When does the new independence day come out?,"After multiple rescheduling events, the final confirmed release date for Independence Day: Resurgence was June 24, 2016.","with the final release date announced as June 24, 2016",1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000517,a2_case,3643093465010420057,new_new,1,What city in texas has the highest elevation?,The city in Texas with the highest elevation is Del Rio [3]. 1425 feet above sea level [4],"- Del Rio is the city in Texas with the highest elevation.
- Del Rio has an elevation of 1425 feet above sea level.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000591,a2_claim,-728189424752983312,old_old,1,Where did the term bye felicia come from?,"The phrase ""Bye, Felicia"" originated in the 1995 film ""Friday"".","The term ""Bye, Felicia"" came from a scene in the American stoner buddy crime comedy film ""Friday"" (1995)",1,1,NA,NA,1,1,NA,,,
item-000331,a2_case,-4873786835306543030,new_new,1,Who is the chief minister of m. p?,Captain Amarinder Singh is the Chief Minister of Punjab [1].,- Captain Amarinder Singh holds the office of Chief Minister for the state of Punjab.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000534,a2_case,-8286966211355378010,new_old,1,What is the objective of tour de france?,The objective of the Tour de France is to determine the best professional bicycle racer through a series of day-long stages over 23 days [1].,"- The Tour de France aims to identify the top professional bicycle racer.
- The competition consists of multiple stages, each lasting a day.
- The Tour de France spans a total of 23 days.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000622,a2_claim,-3344541168958463110,new_old,1,Who fought with an angel in the bible?,Jacob engaged in a physical confrontation with an angel in the Bible.,Jacob fought with an angel,1,1,NA,NA,1,1,NA,,,
item-000558,a2_case,6776234528515962047,old_old,1,Who is the most run in cricket history?,"The evidence [4] states that the individual who is described as ""the leading run scorer in Tests, with 15,921 runs, as well as in One-Day Internationals, with 18,426 runs"" is the most run scorer in cricket history. This person is also noted as the only player to score more than 30,000 runs in all forms of international cricket. [4]","- The described individual holds the record for the most runs scored in cricket history.
- The described individual is also noted as the only player to score more than 30,000 runs in all forms of international cricket.",NA,NA,NA,NA,NA,NA,partial,"lost fact description ""the individual who is described as ""the leading run scorer in Tests, with 15,921 runs, as well as in One-Day Internationals, with 18,426 runs""""",fact_omission,
item-000277,a1_sentence,-5564120845047915486,old,1,Where do you find a simple gear train?,"You can find a simple gear train in illustrations by the Renaissance scientist Georgius Agricola [2], which show gear trains with cylindrical teeth [1].",,1,1,1,0,NA,NA,NA,,,
item-000380,a2_case,8433533625736230886,new_old,1,Who has won the most trophies man utd or liverpool?,Manchester United has won more trophies than Liverpool [1][2].,- Manchester United has a higher total number of trophies than Liverpool.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000321,a2_case,16881061444712536,new_new,1,Where does the amazon river start and finish?,The Amazon River starts at the headwaters of the Cordillera Rumi Cruz in Peru [1][4]. The Amazon River finishes at the Atlantic Ocean [1][4].,"- The Amazon River originates at the headwaters of the Cordillera Rumi Cruz mountain range located in Peru.
- The Amazon River flows into the Atlantic Ocean.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000261,a2_claim,732619765350082410,new_old,1,When did toronto host the mlb all-star game?,"The Toronto Blue Jays were the host team for the Major League Baseball All-Star Game on July 9, 1991.","The Toronto Blue Jays hosted the Major League Baseball All-Star Game on July 9, 1991",1,1,NA,NA,1,1,NA,,,
item-000449,a1_sentence,3605104154738105404,new,1,What episode does jason gideon die in criminal minds?,"Jason Gideon dies in the Season 10 episode ""Nelson's Sparrow"" [1][4].",,1,1,1,0,NA,NA,NA,,,
item-000592,a2_claim,-728189424752983312,old_old,2,Where did the term bye felicia come from?,"Ice Cube, who starred and co-wrote ""Friday"", is credited with originating the phrase ""Bye, Felicia"".","It was originally used in that film and is attributed to Ice Cube, who starred in and co-wrote the script",1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000019,a1_sentence,-7824075627194227170,old,4,When was the commission fir sc/st established?,[1][2],,NA,0,0,0,NA,NA,NA,,citation_only,
item-000278,a1_sentence,-5564120845047915486,old,2,Where do you find a simple gear train?,"Additionally, gear trains are used in various mechanical systems, such as in clocks (both for the going train and striking train) [3], and in horology where a wheel train is the gear train of a clock or watch [3].",,1,1,1,0,NA,NA,NA,,,
